ID,Requisito Consolidado,Nome (Resumido),Nome Exato do Documento,Localização (Artigo / Requisito / Secção)
RF-01,"Gestão de Prontuário: Registo obrigatório (identificação, queixa, procedimentos, evolução e encaminhamentos).",resolucao2009-01.pdfEspecificacao_de_Requisitos_Base_Legal.md,Resolução CFP N° 001/2009Especificação de Requisitos - Conformidade Legal e Normativa (PsiSoft),Art. 1º e Art. 2ºRequisito RF-L01
RF-02,Acesso e Exportação: Interface para o titular visualizar e exportar a íntegra das informações clínicas.,Lei consolidada_adriana.pdfresolucao2009-01.pdf,Lei Geral de Proteção de Dados Pessoais (LGPD)Resolução CFP N° 001/2009,"Art. 18, Inciso IIArt. 2º, Inciso II"
RF-03,Gestão de Consentimento: Exigir aceite de TCLE antes da coleta de dados sensíveis com registo de log.,Lei consolidada_adriana.pdfEspecificacao_de_Requisitos_Base_Legal.md,Lei Geral de Proteção de Dados Pessoais (LGPD)Especificação de Requisitos - Conformidade Legal e Normativa (PsiSoft),Art. 8ºRequisito RF-L03
RF-04,Agendamento Autónomo: Marcação de consultas pelo paciente via agenda digital sem intermediação.,Especificacao_de_Requisitos_Paciente.mdAnálise Amplimed.md,Especificação dos Requisitos do Sistema (Visão Pacientes)Especificação dos Requisitos do Sistema Análogo,Requisito RF-P01Requisito RF-A02
RF-05,Validação e-Psi: Validação e exibição do registo do profissional para atendimentos online.,RESOLUÇÃO-Nº-11-DE-11-DE-MAIO-DE-2018.pdfEspecificacao_de_Requisitos_Base_Legal.md,Resolução CFP Nº 11 de 11 de Maio de 2018Especificação de Requisitos - Conformidade Legal e Normativa (PsiSoft),Art. 3ºRequisito RF-L04
RF-06,Ferramentas TCC Core: Implementação de cartões de enfrentamento e registo de pensamentos/sentimentos.,Especificação de Requisito Paciente.md,Especificação de Requisitos - Sistema para Psicólogos e Pacientes,Requisitos RF01 e RF02
RF-07,Escalas Clínicas: Implementação de ferramentas visuais (SUDS e Contínuo Cognitivo).,Especificação de Requisito Paciente.md,Especificação de Requisitos - Sistema para Psicólogos e Pacientes,Requisito RF04
RF-08,Documentação e IRS: Emissão de recibos para IRS e histórico de consultas passadas.,Especificacao_de_Requisitos_Paciente.md,Especificação dos Requisitos do Sistema (Visão Pacientes),Requisito RF-P03
RF-09,Lembretes Automatizados: Envio de avisos de sessão via WhatsApp com 24h de antecedência.,Especificacao_de_Requisitos_Paciente.mdAnálise Amplimed.md,Especificação dos Requisitos do Sistema (Visão Pacientes)Especificação dos Requisitos do Sistema Análogo,Requisito RF-P04Requisito RF-A05
RF-10,Direitos do Titular: Interface para solicitação de correção de dados inexatos ou desatualizados.,Lei consolidada_adriana.pdfEspecificacao_de_Requisitos_Base_Legal.md,Lei Geral de Proteção de Dados Pessoais (LGPD)Especificação de Requisitos - Conformidade Legal e Normativa (PsiSoft),"Art. 18, Inciso IIIRequisito RF-L05"
